track_id,frame_idx,ms,person_index,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
1,0,0,0,1124.9671630859375,594.1929321289062,0.9979883432388306,1196.9569091796875,569.423583984375,0.9856770038604736,1037.625732421875,735.5679931640625,0.9948174357414246,1122.6798095703125,712.69189453125,0.9678140878677368,1006.402587890625,890.4640502929688,0.969841718673706,1083.260009765625,850.4520263671875,0.9114400744438171
1,1,0,0,1122.49072265625,595.4379272460938,0.9979422688484192,1195.4150390625,570.834228515625,0.9855015873908997,1039.8330078125,737.9945068359375,0.9947119951248169,1122.8424072265625,715.5154418945312,0.9676091074943542,1010.8207397460938,891.7913818359375,0.969591498374939,1081.43603515625,852.7628784179688,0.9114079475402832
1,2,0,0,1117.7666015625,599.02001953125,0.99769526720047,1194.19189453125,574.6357421875,0.984148383140564,1036.8685302734375,739.6944580078125,0.9941388368606567,1121.681884765625,717.9688110351562,0.9650660753250122,1008.1403198242188,891.572021484375,0.9671735763549805,1081.368896484375,853.6329345703125,0.9062796831130981
1,3,0,0,1116.2210693359375,600.9854125976562,0.9977796673774719,1193.7288818359375,575.69384765625,0.9846493601799011,1035.8818359375,741.3682861328125,0.9942975640296936,1121.3853759765625,718.8718872070312,0.9659773111343384,1007.0326538085938,891.9349365234375,0.967636227607727,1082.783935546875,853.86767578125,0.9077102541923523
1,4,0,0,1116.0479736328125,598.72705078125,0.9978525638580322,1194.892578125,575.3659057617188,0.9860923886299133,1041.0145263671875,735.1922607421875,0.9943848848342896,1124.2266845703125,717.9009399414062,0.9683722853660583,1015.2852172851562,883.3094482421875,0.967365562915802,1085.4246826171875,854.0009765625,0.9097790718078613
1,5,0,0,1114.9921875,598.8837890625,0.998229444026947,1193.7117919921875,576.5510864257812,0.9889124631881714,1042.37109375,738.4222412109375,0.9951410293579102,1121.354248046875,720.2909545898438,0.9735262393951416,1017.8117065429688,886.1808471679688,0.9707754850387573,1083.14697265625,856.89404296875,0.9205256700515747
1,6,9,0,1116.216796875,596.6171875,0.9982187151908875,1195.711669921875,575.887939453125,0.9890129566192627,1045.8634033203125,733.2640380859375,0.9953036308288574,1120.2674560546875,721.3236694335938,0.9748001098632812,1022.2570190429688,876.1887817382812,0.972724437713623,1081.2550048828125,858.0082397460938,0.9261149168014526
1,7,50,0,1116.695068359375,597.956787109375,0.9982609152793884,1193.9285888671875,577.2850341796875,0.9890032410621643,1047.831787109375,735.3804931640625,0.9954466223716736,1119.6632080078125,722.982421875,0.9749690294265747,1023.29736328125,878.6679077148438,0.9739009141921997,1081.9984130859375,859.986572265625,0.9281249642372131
1,8,109,0,1115.71826171875,601.9894409179688,0.9979910850524902,1191.988037109375,581.3009643554688,0.9875524044036865,1047.7281494140625,737.025146484375,0.9943172335624695,1116.560791015625,721.2955932617188,0.9693371653556824,1026.4639892578125,883.4827880859375,0.9667530655860901,1077.67431640625,858.149658203125,0.9104313850402832
1,9,150,0,1115.677734375,602.4268188476562,0.9979957342147827,1191.94677734375,581.1893920898438,0.9876095056533813,1048.8857421875,737.24853515625,0.9945691823959351,1116.3692626953125,718.5020751953125,0.9707391262054443,1029.9459228515625,883.7109375,0.9696051478385925,1077.246826171875,853.4002075195312,0.9179789423942566
1,10,209,0,1110.4886474609375,606.0527954101562,0.9972677230834961,1189.960693359375,585.8429565429688,0.9843488335609436,1048.100830078125,735.2512817382812,0.9927680492401123,1113.9117431640625,720.3741455078125,0.9640370607376099,1037.0323486328125,879.2279663085938,0.9620375037193298,1073.4493408203125,854.8594360351562,0.9029290080070496
1,11,250,0,1111.405029296875,605.8125,0.9976311922073364,1190.0323486328125,586.7117919921875,0.9862962961196899,1049.5528564453125,737.5784912109375,0.9930729269981384,1113.8089599609375,723.1201171875,0.9651132225990295,1036.6717529296875,884.9053344726562,0.9601292610168457,1072.5147705078125,859.7431640625,0.8976918458938599
1,12,309,0,1109.822021484375,606.6177978515625,0.9974727034568787,1186.4267578125,587.302001953125,0.9858149290084839,1051.1988525390625,738.5013427734375,0.992515504360199,1111.3145751953125,721.9873657226562,0.96344393491745,1039.98779296875,884.8077392578125,0.9575157761573792,1072.4166259765625,856.8693237304688,0.8933321833610535
1,13,350,0,1110.00390625,604.8411254882812,0.9976539015769958,1184.97900390625,586.3159790039062,0.9867125749588013,1049.284912109375,736.8429565429688,0.9930583238601685,1110.672607421875,720.3015747070312,0.9656787514686584,1037.8677978515625,885.0275268554688,0.960212230682373,1073.3427734375,855.6428833007812,0.8990458250045776
1,14,409,0,1109.2305908203125,603.7196655273438,0.9976536631584167,1184.662841796875,585.6465454101562,0.986383855342865,1052.3046875,735.1864013671875,0.9935668110847473,1112.013916015625,718.5838623046875,0.9674824476242065,1040.7757568359375,884.6130981445312,0.9652445316314697,1071.9061279296875,854.3263549804688,0.9100428819656372
1,15,450,0,1110.8370361328125,602.4879150390625,0.9977699518203735,1185.4400634765625,583.7382202148438,0.9866188168525696,1051.77099609375,733.94482421875,0.9939528107643127,1112.3902587890625,716.7577514648438,0.9683019518852234,1037.6024169921875,882.3424072265625,0.9671739339828491,1075.279052734375,852.4252319335938,0.9128997325897217
